ds,trend_x,yhat_lower_x,yhat_upper_x,trend_lower_x,trend_upper_x,additive_terms_x,additive_terms_lower_x,additive_terms_upper_x,weekly_x,weekly_lower_x,weekly_upper_x,multiplicative_terms_x,multiplicative_terms_lower_x,multiplicative_terms_upper_x,yhat_x,trend_y,yhat_lower_y,yhat_upper_y,trend_lower_y,trend_upper_y,additive_terms_y,additive_terms_lower_y,additive_terms_upper_y,weekly_y,weekly_lower_y,weekly_upper_y,multiplicative_terms_y,multiplicative_terms_lower_y,multiplicative_terms_upper_y,yhat_y
2020-03-13,1244.943226759529,-119280.24795815251,113238.71837768948,1244.943226759529,1244.943226759529,-1302.9367222174947,-1302.9367222174947,-1302.9367222174947,-1302.9367222174947,-1302.9367222174947,-1302.9367222174947,0.0,0.0,0.0,-57.993495457965764,6.535901030023022,-226.31533218345461,247.34171813401576,6.535901030023022,6.535901030023022,15.285470719278534,15.285470719278534,15.285470719278534,15.285470719278534,15.285470719278534,15.285470719278534,0.0,0.0,0.0,21.821371749301555
2020-03-14,1367.2899579392104,-121370.47581800984,125632.18394170063,1367.2899579392104,1367.2899579392104,-958.6224832518434,-958.6224832518434,-958.6224832518434,-958.6224832518434,-958.6224832518434,-958.6224832518434,0.0,0.0,0.0,408.66747468736696,7.735884355951455,-224.59396454013802,249.22415703817117,7.735884355951455,7.735884355951455,12.084601807912929,12.084601807912929,12.084601807912929,12.084601807912929,12.084601807912929,12.084601807912929,0.0,0.0,0.0,19.820486163864384
2020-03-15,1489.6366891188927,-110967.07449961796,132569.2499132753,1489.6366891188927,1489.6366891188927,5213.883094105283,5213.883094105283,5213.883094105283,5213.883094105283,5213.883094105283,5213.883094105283,0.0,0.0,0.0,6703.519783224176,8.93586768187989,-234.3102252976144,221.95610659707535,8.93586768187989,8.93586768187989,-7.898769791779327,-7.898769791779327,-7.898769791779327,-7.898769791779327,-7.898769791779327,-7.898769791779327,0.0,0.0,0.0,1.0370978901005623
2020-03-16,1611.9834202985742,-112466.68535733038,128745.08241277307,1611.9834202985742,1611.9834202985742,3825.037940647924,3825.037940647924,3825.037940647924,3825.037940647924,3825.037940647924,3825.037940647924,0.0,0.0,0.0,5437.021360946498,10.135851007808316,-251.22354157952995,205.28036383944135,10.135851007808316,10.135851007808316,-30.273396917542968,-30.273396917542968,-30.273396917542968,-30.273396917542968,-30.273396917542968,-30.273396917542968,0.0,0.0,0.0,-20.13754590973465
2020-03-17,1734.3301514782565,-109507.138148027,123403.7917545997,1734.3301514782565,1734.3301514782565,-1338.5346218846112,-1338.5346218846112,-1338.5346218846112,-1338.5346218846112,-1338.5346218846112,-1338.5346218846112,0.0,0.0,0.0,395.79552959364537,11.335834333736749,-260.0881985272018,193.13238892947544,11.335834333736749,11.335834333736749,-48.8988139532775,-48.8988139532775,-48.8988139532775,-48.8988139532775,-48.8988139532775,-48.8988139532775,0.0,0.0,0.0,-37.56297961954075
2020-03-18,1856.676882657938,-112972.33397313996,121972.0933301773,1856.676882657938,1856.676882657938,-3239.984317751515,-3239.984317751515,-3239.984317751515,-3239.984317751515,-3239.984317751515,-3239.984317751515,0.0,0.0,0.0,-1383.307435093577,12.535817659665183,-191.4242688961221,280.2326864580956,12.535817659665183,12.535817659665183,42.78292040554212,42.78292040554212,42.78292040554212,42.78292040554212,42.78292040554212,42.78292040554212,0.0,0.0,0.0,55.318738065207306
2020-03-19,1979.0236138376195,-121131.1527627676,119612.2473902616,1979.0236138376195,1979.0236138376195,-2198.842889636242,-2198.842889636242,-2198.842889636242,-2198.842889636242,-2198.842889636242,-2198.842889636242,0.0,0.0,0.0,-219.81927579862258,13.735800985593617,-182.88520863915076,257.6368789148517,13.735800985593617,13.735800985593617,16.917987729926836,16.917987729926836,16.917987729926836,16.917987729926836,16.917987729926836,16.917987729926836,0.0,0.0,0.0,30.653788715520452
2020-03-20,2101.370345017301,-123106.3358565931,121798.10197429764,2101.370345017301,2101.370345017301,-1302.9367222178503,-1302.9367222178503,-1302.9367222178503,-1302.9367222178503,-1302.9367222178503,-1302.9367222178503,0.0,0.0,0.0,798.4336227994509,14.935784311522042,-202.56873886780812,258.0958648866867,14.935784311522042,14.935784311522042,15.285470719401697,15.285470719401697,15.285470719401697,15.285470719401697,15.285470719401697,15.285470719401697,0.0,0.0,0.0,30.22125503092374
2020-03-21,2224.055407877684,-116227.63413558283,122966.14462622134,2224.055407877684,2224.055407877684,-958.6224832487537,-958.6224832487537,-958.6224832487537,-958.6224832487537,-958.6224832487537,-958.6224832487537,0.0,0.0,0.0,1265.4329246289303,16.135848253805243,-199.7199465758033,257.42948373603883,16.135848253805243,16.135848253805243,12.084601807949168,12.084601807949168,12.084601807949168,12.084601807949168,12.084601807949168,12.084601807949168,0.0,0.0,0.0,28.220450061754413
2020-03-22,2346.740470738068,-114953.82729469839,133619.9666326002,2346.740470738068,2346.740470738068,5213.883094107455,5213.883094107455,5213.883094107455,5213.883094107455,5213.883094107455,5213.883094107455,0.0,0.0,0.0,7560.623564845522,17.33591219608845,-213.68284844807093,268.6827435231873,17.33591219608845,17.33591219608845,-7.89876979183496,-7.89876979183496,-7.89876979183496,-7.89876979183496,-7.89876979183496,-7.89876979183496,0.0,0.0,0.0,9.43714240425349
